STT,Từ Vựng (Kanji),Cách Đọc (Hiragana),Hán Việt,Ý Nghĩa Tiếng Việt,English Meaning,Ví Dụ (Example)
1,男性,だんせい,NAM TÍNH,"Nam giới, đàn ông",man,理想の男性と結婚する。
2,女性,じょせい,NỮ TÍNH,"Nữ giới, phụ nữ",woman,あの女性はだれですか。
3,高齢,こうれい,CAO LINH,"Tuổi cao, cao tuổi","old age, advanced age",祖母は高齢だが、まだとても元気だ。
4,年上,としうえ,NIÊN THƯỢNG,Lớn tuổi hơn,elder,彼女は私より三つ年上だ。
5,目上,めうえ,MỤC THƯỢNG,"Cấp trên, bề trên",superior,目上の人には敬語で話したほうがいい。
6,先輩,せんぱい,TIỀN BỐI,"Tiền bối, người đi trước",senior,田中さんと私は同じ年だが、職場では彼のほうが先輩だ。
7,後輩,こうはい,HẬU BỐI,"Hậu bối, người đi sau",junior,後輩に仕事を教える。
8,上司,じょうし,THƯỢNG TI,"Cấp trên, sếp",boss,上司に相談してから決定する。
9,相手,あいて,TƯƠNG THỦ,"Đối phương, đối thủ","other person, opponent",相手の目を見て話す。今度の試合の相手は強そうだ。
10,知り合い,しりあい,TRI HỢP,Người quen,acquaintance,知り合いに息子的就職を頼む。
11,友人,ゆうじん,HỮU NHÂN,Bạn bè,friend,学生時代の友人です。
12,仲,なか,TRỌNG,Mối quan hệ,relations,私は山本さんと仲がいい。
13,生年月日,せいねんがっぴ,SANH NIÊN NGUYỆT NHẬT,Ngày tháng năm sinh,date of birth,書類に生年月日を記入する。
14,誕生,たんじょう,ĐẢN SANH,"Sự ra đời, sinh ra",birth,新しい命の誕生を祝う。
15,年,とし,NIÊN,"Năm, tuổi tác","year, age",年の初めに1年の計画を立てる。父は年より若く見える。
16,出身,しゅっしん,XUẤT THÂN,"Xuất thân, quê quán","origin, homeland",ご出身はどちらですか。東京です。
17,故郷,こきょう,CỐ HƯƠNG,Quê hương,hometown,仕事が忙しくて、もう何年も故郷に帰っていない。
18,成長,せいちょう,THÀNH TRƯỜNG,"Trưởng thành, phát triển",growth,子どもの成長を喜ぶ。経済が大きく成長した。
19,成人,せいじん,THÀNH NHÂN,Người trưởng thành,adult,日本では二十歳以上の人を成人という。
20,合格,ごうかく,HỢP CÁCH,"Đỗ, trúng tuyển","passing, acceptance",大学の入学試験に合格する。
21,進学,しんがく,TIẾN HỌC,Học lên (cấp cao hơn),going to a higher school,大学院に進学する。
22,退学,たいがく,THOÁI HỌC,"Thôi học, bỏ học",dropping out,病気で大学を退学した。
23,就職,しゅうしょく,TỰU CHỨC,"Xin việc, đi làm",getting employed,旅行会社に就職する。
24,退職,たいしょく,THOÁI CHỨC,"Nghỉ việc, từ chức","resignation, retirement",母の介護のため、退職を決めた。
25,失業,しつぎょう,THẤT NGHIỆP,Thất nghiệp,unemployment,会社が倒産して失業した。
26,残業,ざんぎょう,TÀN NGHIỆP,"Làm thêm giờ, tăng ca",overtime work,残業が多くて疲れた。
27,生活,せいかつ,SANH HOẠT,"Sinh hoạt, cuộc sống",life,健康的な生活を送る。外国で生活するのは楽しい。
28,通勤,つうきん,THÔNG CẦN,Đi làm (hằng ngày),commuting,私は毎日1時間かけて通勤している。
29,学歴,がくれき,HỌC LỊCH,"Bằng cấp, học vấn",educational background,学歴が高くても、実力があるかどうかはわからない。
30,給料,きゅうりょう,CẤP LIỆU,Tiền lương,"salary, pay",会社から給料をもらう。
31,面接,めんせつ,DIỆN TIẾP,Phỏng vấn,interview,きょう、会社の人との面接がある。
32,休憩,きゅうけい,HƯU KHẾ,Nghỉ giải lao,break,ではここで、10分間の休憩です。
33,観光,かんこう,QUAN QUANG,"Tham quan, du lịch","tourism, sightseeing",先週、京都を観光してまわった。
34,帰国,きこく,QUY QUỐC,Về nước,returning to one's country,今度の正月には帰国するつもりだ。
35,帰省,きせい,QUY TỈNH,Về quê,returning to one's hometown,お盆にはふるさとに帰省する日本人が多い。
36,帰宅,きたく,QUY TRẠCH,Về nhà,going home,毎日忙しくて帰宅が遅い。
37,参加,さんか,THAM GIA,Tham gia,participation,ボランティア活動に参加する。
38,出席,しゅっせき,XUẤT TỊCH,"Có mặt, tham dự",attendance,ミーティングに出席する。
39,欠席,けっせき,KHIẾM TỊCH,"Vắng mặt, nghỉ",absence,授業を欠席する。
40,遅刻,ちこく,TRÌ KHẮC,"Đến muộn, trễ",arriving late,寝坊して授業に遅刻する。
41,化粧,けしょう,HÓA TRANG,Trang điểm,makeup,あなたは毎日、お化粧に何分ぐらいかけていますか。
42,計算,けいさん,KẾ TOÁN,Tính toán,calculation,旅行にいくらかかるか計算する。
43,計画,けいかく,KẾ HỌA,Kế hoạch,plan,来年の計画を立てる。
44,成功,せいこう,THÀNH CÔNG,Thành công,success,実験に成功する。
45,失敗,しっぱい,THẤT BẠI,Thất bại,failure,実験の失敗で、計画は中止になった。
46,準備,じゅんび,CHUẨN BỊ,Chuẩn bị,preparation,引っ越しの準備が終わった。
47,整理,せいり,CHỈNH LÝ,"Chỉnh lý, thu dọn","organizing, arrangement",資料の整理。机の上を整理する。
48,注文,ちゅうもん,CHÚ VĂN,"Đặt hàng, gọi món, yêu cầu","order, request",喫茶店でコーヒーを注文する。
49,貯金,ちょきん,TRỮ KIM,"Tiết kiệm tiền, tiền gửi tiết kiệm","savings, depositing",銀行にボーナスを貯金する。
50,徹夜,てつや,TRIỆT DẠ,Thức trắng đêm,staying up all night,徹夜で勉強する。
51,引っ越し,ひっこし,DẪN VIỆT,Chuyển nhà,move,東京から横浜へ引っ越しする。
52,身長,しんちょう,THÂN TRƯỜNG,Chiều cao cơ thể,body height,身長を測る。兄は身長が高い。
53,体重,たいじゅう,THỂ TRỌNG,"Cân nặng, trọng lượng",body weight,体重を測る。父の体重は60キロだ。
54,けが,けが,,"Vết thương, bị thương",injury,転んで足にけがをした。
55,会,かい,HỘI,"Buổi tiệc, hội họp","party, meeting",忘年会を開く。
56,趣味,しゅみ,THÚ VỊ,"Sở thích, gu thẩm mỹ","hobby, interest",趣味は読書です。
57,興味,きょうみ,HƯNG VỊ,"Hứng thú, quan tâm",interest,私は歴史に興味がある。
58,思い出,おもいで,TƯ XUẤT,"Kỷ niệm, hồi ức",memory,子どものころの思い出。
59,冗談,じょうだん,NHŨNG ĐÀM,"Chuyện đùa, nói đùa",joke,冗談を言ったら、みんなが本気にした。
60,目的,もくてき,MỤC ĐÍCH,Mục đích,purpose,日本に来た目的は大学への入学だ。
